country_code,year,employment_rate,country_name
AUS,2005,71.54403,Australia
AUS,2006,72.12262,Australia
AUS,2007,72.80006,Australia
AUS,2008,73.20431,Australia
AUS,2009,72.05107,Australia
AUS,2010,72.37024,Australia
AUS,2011,72.65694,Australia
AUS,2012,72.34558,Australia
AUS,2013,71.97044,Australia
AUS,2014,71.56635,Australia
AUS,2015,72.15796,Australia
AUS,2016,72.38454,Australia
AUS,2017,72.77106,Australia
AUS,2018,73.48926,Australia
AUS,2019,74.11063,Australia
AUS,2020,72.35858,Australia
AUS,2021,74.58321,Australia
AUS,2022,76.91293,Australia
AUS,2023,77.21012,Australia
AUS,2024,77.06196,Australia
AUS,2025,77.20548,Australia
CAN,2005,72.44167,Canada
CAN,2006,72.84167,Canada
CAN,2007,73.46667,Canada
CAN,2008,73.45834,Canada
CAN,2009,71.50833,Canada
CAN,2010,71.55833,Canada
CAN,2011,71.875,Canada
CAN,2012,72.16666,Canada
CAN,2013,72.575,Canada
CAN,2014,72.36667,Canada
CAN,2015,72.59167,Canada
CAN,2016,72.525,Canada
CAN,2017,73.48333,Canada
CAN,2018,74.025,Canada
CAN,2019,74.59167,Canada
CAN,2020,70.10833,Canada
CAN,2021,73.50833,Canada
CAN,2022,75.6,Canada
CAN,2023,75.89167,Canada
CAN,2024,74.675,Canada
CAN,2025,74.20834,Canada
CHE,2005,77.2,Switzerland
CHE,2006,77.9,Switzerland
CHE,2007,78.6,Switzerland
CHE,2008,79.5,Switzerland
CHE,2009,79.0,Switzerland
CHE,2010,77.325,Switzerland
CHE,2011,78.35,Switzerland
CHE,2012,78.475,Switzerland
CHE,2013,78.4,Switzerland
CHE,2014,78.75,Switzerland
CHE,2015,79.2,Switzerland
CHE,2016,79.6,Switzerland
CHE,2017,79.8,Switzerland
CHE,2018,80.1,Switzerland
CHE,2019,80.475,Switzerland
CHE,2020,79.925,Switzerland
CHE,2021,79.6,Switzerland
CHE,2022,80.1,Switzerland
CHE,2023,80.65,Switzerland
CHE,2024,80.375,Switzerland
CHE,2025,79.9,Switzerland
DEU,2005,65.45,Germany
DEU,2006,67.15,Germany
DEU,2007,68.975,Germany
DEU,2008,70.1,Germany
DEU,2009,69.375,Germany
DEU,2010,70.3,Germany
DEU,2011,71.775,Germany
DEU,2012,72.05,Germany
DEU,2013,72.55,Germany
DEU,2014,72.85,Germany
DEU,2015,73.05,Germany
DEU,2016,73.75,Germany
DEU,2017,74.4,Germany
DEU,2018,75.075,Germany
DEU,2019,75.825,Germany
DEU,2020,73.47839,Germany
DEU,2021,75.825,Germany
DEU,2022,76.95,Germany
DEU,2023,77.275,Germany
DEU,2024,77.45,Germany
DEU,2025,77.375,Germany
DNK,2005,75.9,Denmark
DNK,2006,77.375,Denmark
DNK,2007,77.0,Denmark
DNK,2008,76.325,Denmark
DNK,2009,73.525,Denmark
DNK,2010,71.8,Denmark
DNK,2011,71.625,Denmark
DNK,2012,71.025,Denmark
DNK,2013,70.775,Denmark
DNK,2014,71.1,Denmark
DNK,2015,71.975,Denmark
DNK,2016,72.675,Denmark
DNK,2017,73.225,Denmark
DNK,2018,74.125,Denmark
DNK,2019,75.0,Denmark
DNK,2020,74.425,Denmark
DNK,2021,75.475,Denmark
DNK,2022,76.775,Denmark
DNK,2023,76.575,Denmark
DNK,2024,77.225,Denmark
DNK,2025,76.925,Denmark
FIN,2005,68.375,Finland
FIN,2006,69.35,Finland
FIN,2007,70.3,Finland
FIN,2008,71.05,Finland
FIN,2009,67.9,Finland
FIN,2010,67.15,Finland
FIN,2011,68.0,Finland
FIN,2012,68.45,Finland
FIN,2013,68.075,Finland
FIN,2014,67.95,Finland
FIN,2015,67.55,Finland
FIN,2016,68.225,Finland
FIN,2017,69.075,Finland
FIN,2018,71.15,Finland
FIN,2019,72.0,Finland
FIN,2020,71.175,Finland
FIN,2021,72.65,Finland
FIN,2022,74.3,Finland
FIN,2023,74.025,Finland
FIN,2024,72.575,Finland
FIN,2025,71.9,Finland
FRA,2005,64.15,France
FRA,2006,64.15,France
FRA,2007,64.725,France
FRA,2008,65.3,France
FRA,2009,64.425,France
FRA,2010,64.375,France
FRA,2011,64.3,France
FRA,2012,64.375,France
FRA,2013,64.375,France
FRA,2014,64.525,France
FRA,2015,64.7,France
FRA,2016,65.0,France
FRA,2017,65.55,France
FRA,2018,66.15,France
FRA,2019,66.375,France
FRA,2020,66.1,France
FRA,2021,67.25,France
FRA,2022,68.125,France
FRA,2023,68.45,France
FRA,2024,68.95,France
FRA,2025,69.425,France
GBR,2005,72.925,United Kingdom
GBR,2006,72.825,United Kingdom
GBR,2007,72.7,United Kingdom
GBR,2008,72.6,United Kingdom
GBR,2009,70.9,United Kingdom
GBR,2010,70.45,United Kingdom
GBR,2011,70.325,United Kingdom
GBR,2012,70.975,United Kingdom
GBR,2013,71.55,United Kingdom
GBR,2014,72.875,United Kingdom
GBR,2015,73.675,United Kingdom
GBR,2016,74.375,United Kingdom
GBR,2017,75.0,United Kingdom
GBR,2018,75.625,United Kingdom
GBR,2019,76.1,United Kingdom
GBR,2020,75.075,United Kingdom
GBR,2021,74.8,United Kingdom
GBR,2022,75.075,United Kingdom
GBR,2023,75.05,United Kingdom
GBR,2024,74.75,United Kingdom
GBR,2025,75.075,United Kingdom
ISR,2005,56.70815,Israel
ISR,2006,57.55732,Israel
ISR,2007,58.94432,Israel
ISR,2008,59.82737,Israel
ISR,2009,59.21324,Israel
ISR,2010,60.1636,Israel
ISR,2011,60.87873,Israel
ISR,2012,66.5,Israel
ISR,2013,67.05833,Israel
ISR,2014,67.86667,Israel
ISR,2015,68.31667,Israel
ISR,2016,68.575,Israel
ISR,2017,69.025,Israel
ISR,2018,69.03333,Israel
ISR,2019,68.94167,Israel
ISR,2020,66.78333,Israel
ISR,2021,66.6,Israel
ISR,2022,69.19167,Israel
ISR,2023,69.775,Israel
ISR,2024,69.25,Israel
ISR,2025,69.375,Israel
ITA,2005,57.575,Italy
ITA,2006,58.325,Italy
ITA,2007,58.575,Italy
ITA,2008,58.65,Italy
ITA,2009,56.9,Italy
ITA,2010,56.25,Italy
ITA,2011,56.35,Italy
ITA,2012,56.075,Italy
ITA,2013,54.95,Italy
ITA,2014,55.275,Italy
ITA,2015,56.025,Italy
ITA,2016,57.05,Italy
ITA,2017,57.875,Italy
ITA,2018,58.5,Italy
ITA,2019,59.05,Italy
ITA,2020,57.45,Italy
ITA,2021,58.25,Italy
ITA,2022,60.15,Italy
ITA,2023,61.475,Italy
ITA,2024,62.2,Italy
ITA,2025,62.525,Italy
JPN,2005,69.36958,Japan
JPN,2006,70.03133,Japan
JPN,2007,70.77465,Japan
JPN,2008,70.87483,Japan
JPN,2009,70.17558,Japan
JPN,2010,70.28753,Japan
JPN,2011,70.81879,Japan
JPN,2012,70.61563,Japan
JPN,2013,71.7623,Japan
JPN,2014,72.76458,Japan
JPN,2015,73.39706,Japan
JPN,2016,74.46338,Japan
JPN,2017,75.36579,Japan
JPN,2018,76.94645,Japan
JPN,2019,77.81501,Japan
JPN,2020,77.45217,Japan
JPN,2021,77.88137,Japan
JPN,2022,78.45472,Japan
JPN,2023,78.94055,Japan
JPN,2024,79.43888,Japan
JPN,2025,80.11329,Japan
KOR,2005,63.74775,South Korea
KOR,2006,63.97321,South Korea
KOR,2007,64.14521,South Korea
KOR,2008,63.9557,South Korea
KOR,2009,63.0171,South Korea
KOR,2010,63.38788,South Korea
KOR,2011,63.91484,South Korea
KOR,2012,64.34369,South Korea
KOR,2013,64.62727,South Korea
KOR,2014,65.56622,South Korea
KOR,2015,65.90981,South Korea
KOR,2016,66.07566,South Korea
KOR,2017,66.62926,South Korea
KOR,2018,66.61324,South Korea
KOR,2019,66.82268,South Korea
KOR,2020,65.86022,South Korea
KOR,2021,66.52686,South Korea
KOR,2022,68.51241,South Korea
KOR,2023,69.22884,South Korea
KOR,2024,69.5437,South Korea
KOR,2025,69.8482,South Korea
NLD,2005,70.625,Netherlands
NLD,2006,71.575,Netherlands
NLD,2007,73.45,Netherlands
NLD,2008,74.925,Netherlands
NLD,2009,76.175,Netherlands
NLD,2010,75.45,Netherlands
NLD,2011,75.7,Netherlands
NLD,2012,75.9,Netherlands
NLD,2013,75.1,Netherlands
NLD,2014,74.65,Netherlands
NLD,2015,75.65,Netherlands
NLD,2016,76.375,Netherlands
NLD,2017,77.375,Netherlands
NLD,2018,78.7,Netherlands
NLD,2019,79.7,Netherlands
NLD,2020,79.3,Netherlands
NLD,2021,80.15,Netherlands
NLD,2022,81.775,Netherlands
NLD,2023,82.425,Netherlands
NLD,2024,82.325,Netherlands
NLD,2025,82.3,Netherlands
NOR,2005,74.825,Norway
NOR,2006,75.375,Norway
NOR,2007,76.825,Norway
NOR,2008,77.95,Norway
NOR,2009,76.85,Norway
NOR,2010,75.8,Norway
NOR,2011,76.175,Norway
NOR,2012,76.35,Norway
NOR,2013,76.05,Norway
NOR,2014,75.775,Norway
NOR,2015,75.4,Norway
NOR,2016,75.1,Norway
NOR,2017,74.925,Norway
NOR,2018,75.7,Norway
NOR,2019,76.175,Norway
NOR,2020,75.625,Norway
NOR,2021,76.3,Norway
NOR,2022,77.725,Norway
NOR,2023,77.4,Norway
NOR,2024,77.075,Norway
NOR,2025,76.625,Norway
NZL,2005,74.21869,New Zealand
NZL,2006,74.76456,New Zealand
NZL,2007,75.10442,New Zealand
NZL,2008,74.55002,New Zealand
NZL,2009,72.72729,New Zealand
NZL,2010,72.10973,New Zealand
NZL,2011,72.40391,New Zealand
NZL,2012,71.85777,New Zealand
NZL,2013,72.72184,New Zealand
NZL,2014,74.17313,New Zealand
NZL,2015,74.24967,New Zealand
NZL,2016,75.57751,New Zealand
NZL,2017,76.91602,New Zealand
NZL,2018,77.49399,New Zealand
NZL,2019,77.45027,New Zealand
NZL,2020,76.75866,New Zealand
NZL,2021,78.27825,New Zealand
NZL,2022,79.58669,New Zealand
NZL,2023,79.96558,New Zealand
NZL,2024,78.45781,New Zealand
NZL,2025,77.24713,New Zealand
SWE,2005,72.1,Sweden
SWE,2006,72.725,Sweden
SWE,2007,73.825,Sweden
SWE,2008,73.975,Sweden
SWE,2009,71.85,Sweden
SWE,2010,71.775,Sweden
SWE,2011,73.25,Sweden
SWE,2012,73.45,Sweden
SWE,2013,74.125,Sweden
SWE,2014,74.55,Sweden
SWE,2015,75.2,Sweden
SWE,2016,75.875,Sweden
SWE,2017,76.525,Sweden
SWE,2018,77.0,Sweden
SWE,2019,76.75,Sweden
SWE,2020,74.95,Sweden
SWE,2021,75.1,Sweden
SWE,2022,76.975,Sweden
SWE,2023,77.4,Sweden
SWE,2024,76.675,Sweden
SWE,2025,76.425,Sweden
USA,2005,71.53017,United States
USA,2006,71.99708,United States
USA,2007,71.78132,United States
USA,2008,70.88825,United States
USA,2009,67.62595,United States
USA,2010,66.68977,United States
USA,2011,66.64754,United States
USA,2012,67.13661,United States
USA,2013,67.35994,United States
USA,2014,68.14875,United States
USA,2015,68.70962,United States
USA,2016,69.35136,United States
USA,2017,70.11017,United States
USA,2018,70.72614,United States
USA,2019,71.35841,United States
USA,2020,67.06998,United States
USA,2021,69.40365,United States
USA,2022,71.27018,United States
USA,2023,71.95479,United States
USA,2024,71.86034,United States
